sample_id,trajectory_id,repo,step_idx,step_text,predicted_class,human_label
1,chatcmpl-3d5cb8c75eb7f7caa1cbdedf18f1812f,canonical/charmcraft,48,[think] Let me clearly analyze the problem and solution:  **Problem Statement:** 1. The ,other,
2,chatcmpl-cd10b47d8608e20acc8132136fa66d19,PennyLaneAI/pennylane,2,[think] Let me carefully read through the issue description to understand what's happeni,other,
3,chatcmpl-0be5210a07fefa6890cd1082f19bdd34,Textualize/textual,26,"[execute_bash] cd /workspace/Textualize__textual__0.36 && grep -n ""_mouse_hovering_over"" src/textual/widgets/_option_list.py",read_only,
4,chatcmpl-8317a47c409eba932eb6dde9da24b972,shapely/shapely,174,[execute_bash] cd /workspace/shapely__shapely__2.0 && python demo_issue_solution.py,test_run,
5,chatcmpl-e90be918393c67df7eaf48d6799e5a0c,python-pillow/Pillow,114,"[execute_bash] cd /workspace/python-pillow__Pillow__6.0 && find . -name ""*.py"" -exec grep -l ""group3\|ccitt"" {} \;",read_only,
6,chatcmpl-032c13c8e88b772ed7690736c9ec1ae3,executablebooks/markdown-it-py,98,[str_replace_editor:create] /workspace/executablebooks__markdown-it-py__0.5/markdown_it/rules_core/linkify.py,edit,
7,chatcmpl-555be478f1da15e7558078dec09bfe76,pre-commit/pre-commit,32,[str_replace_editor:view] /workspace/pre-commit__pre-commit__1.18/tests/commands/run_test.py,read_only,
8,chatcmpl-660bef0d66732323afe7b82a7d763448,tobymao/sqlglot,86,"[execute_bash] cd /workspace/tobymao__sqlglot__11.1 && grep -n ""_parse.*function"" sqlglot/parser.py",read_only,
9,chatcmpl-d170adde106c20d6d81840cdb8e1724f,modin-project/modin,162,[execute_bash] cd /workspace/modin-project__modin__0.31 && python -m pytest modin/tests/pandas/test_general.py::test_head -v,test_run,
10,chatcmpl-10e3edfd6d7e422fb1fc8aba9d3ee1b9,streamlink/streamlink,62,[execute_bash] cd /workspace/streamlink__streamlink__6.8 && python reproduce_issue.py,test_run,
11,chatcmpl-507549a7ba12779c97fcdcd8569e7843,akaihola/darker,58,[str_replace_editor:create] /workspace/akaihola__darker__2.1/test_reproduce_issue2.py,edit,
12,chatcmpl-ab618bc02ce86e1ef3d8f2c83cdc08b9,pypa/cibuildwheel,50,[execute_bash] cd /workspace/pypa__cibuildwheel__2.3 && pip install -e .,other,
13,chatcmpl-4d0f0de335e6a6a870e7ed72d55b7845,beetbox/beets,56,"[execute_bash] cd /workspace/beetbox__beets__1.4 && grep -n ""disambig"" beets/library.py",read_only,
14,chatcmpl-b5739cde121eb30869723ee004e89cf1,python-pillow/Pillow,88,[str_replace_editor:str_replace] /workspace/python-pillow__Pillow__5.4/src/PIL/Image.py,edit,
15,chatcmpl-b313cf8b44a48086ba84836bdc441dce,smarie/python-pyfields,36,[str_replace_editor:view] /workspace/smarie__python-pyfields__1.1/pyfields/core.py,read_only,
16,chatcmpl-b53dd2c5cf2989f6f8dde8ff95f237ea,jupyterhub/oauthenticator,44,[execute_bash] pip list | grep google,other,
17,chatcmpl-8c4bbd0f5dbe864434e9cb84deb5346f,wemake-services/wemake-python-styleguide,138,[execute_bash] cd /workspace/wemake-services__wemake-python-styleguide__0.16 && python -m pytest tests/test_visitors/test_ast/test_builtins/test_assign/test_multiple_assign.py::test_correct_assignments -v --no-cov,test_run,
18,chatcmpl-55dbeac164e3a6c3836cece4ec280103,aiogram/aiogram,24,[str_replace_editor:view] /workspace/aiogram__aiogram__2.25/aiogram/filters,read_only,
19,chatcmpl-c27b4dc58a2bdd1a9777ce4c40731fc5,Azure/msrest-for-python,52,"[execute_bash] cd /workspace/Azure__msrest-for-python__0.6 && find . -name ""*.py"" -exec grep -l ""minimum.*[0-9]\|maximum.*[0-9]"" {} \;",read_only,
20,chatcmpl-5d6198de97611f2e78ca90da3ecc2d84,tefra/xsdata,22,"[execute_bash] cd /workspace/tefra__xsdata__21.11 && python -m pytest tests/formats/dataclass/ -v -k ""test_"" | head -20",test_run,
21,chatcmpl-7665abd83ec1e6eeac28edb4bb43e06f,fitbenchmarking/fitbenchmarking,30,[str_replace_editor:create] /workspace/fitbenchmarking__fitbenchmarking__1.2/test_current_report.py,edit,
22,chatcmpl-c53d9462f679017413386dcf8183c91a,Aarhus-Psychiatry-Research/timeseriesflattener,38,[str_replace_editor:view] /workspace/Aarhus-Psychiatry-Research__timeseriesflattener__0.23/src/timeseriesflattener/feature_spec_objects.py,read_only,
23,chatcmpl-7b3f11e7421eaaa357403a43ff2c2d4e,numba/numba,56,"[execute_bash] cd /workspace/numba__numba__0.50 && grep -A 30 -B 5 ""Dispatcher_init"" numba/_dispatcher.c",read_only,
24,chatcmpl-5f0587dff4510ae113c8daef0a884be1,dbcli/athenacli,58,[execute_bash] cd /workspace/dbcli__athenacli__1.1 && python test_reproduce_issue.py,test_run,
25,chatcmpl-c57532c40d287ef5a418639d6749bfeb,nosarthur/gita,84,[execute_bash] cd /workspace/nosarthur__gita__0.11 && python -m gita clone,other,
26,chatcmpl-9eb9edc4e548e51785c5bf96874d15f9,ncclient/ncclient,76,[task_tracker] view,other,
27,chatcmpl-9844e8a9a151ba3127a742cfff0e593a,mie-lab/trackintel,74,"[execute_bash] cd /workspace/mie-lab__trackintel__0.6 && grep -n ""\.join"" trackintel/preprocessing/triplegs.py",read_only,
28,chatcmpl-0881f9b442fbcd38efdc51d8c193d589,xarray-contrib/xskillscore,46,[str_replace_editor:create] /workspace/xarray-contrib__xskillscore__0.0/debug_confidence.py,edit,
29,chatcmpl-aca11072862bcee45a054a42aecd6870,Duke-GCB/DukeDSClient,148,"[execute_bash] cd /workspace/Duke-GCB__DukeDSClient__2.3 && grep -r ""Client("" --include=""*.py"" ddsc/sdk/tests/ | grep -v ""client = Client()""",read_only,
30,chatcmpl-67bcf206c65921a1abd23224bf5d5c4a,mirumee/ariadne,64,[execute_bash] cd /workspace/mirumee__ariadne__0.19 && python -m pytest tests/test_enums.py -v,test_run,
31,chatcmpl-c28124b2d63793d3b7e46b6a2fbaa533,warpnet/salt-lint,176,[str_replace_editor:str_replace] /workspace/warpnet__salt-lint__0.4/debug_specific.py,edit,
32,chatcmpl-2dc0c6a6e9bc628353cb48b5380fa6f1,netaddr/netaddr,18,[execute_bash] cd /workspace/netaddr__netaddr__0.8 && python reproduce_issue.py,test_run,
33,chatcmpl-19d0fbbe0c04037a579a53c5f472ac06,conan-io/conan,54,[str_replace_editor:view] /workspace/conan-io__conan__2.0/conans/model/version_range.py,read_only,
34,chatcmpl-88b28bb1e21d43b529ed36e7faa37101,trinodb/trino-python-client,62,[str_replace_editor:view] /workspace/trinodb__trino-python-client__0.326/tox.ini,read_only,
35,chatcmpl-2ac8872978bba4b51676530d1343f3d3,xCDAT/xcdat,28,"[execute_bash] cd /workspace/xCDAT__xcdat__0.6 && grep -n ""CFAxisKey"" xcdat/axis.py",read_only,
36,chatcmpl-798a00c960460899931e264754942617,awdeorio/mailmerge,8,[execute_bash] cd /workspace/awdeorio__mailmerge__2.0 && python -m pytest tests/ -v,test_run,
37,chatcmpl-0b03512778a2aa84734d05d1fa7e473b,zopefoundation/zope.interface,84,[execute_bash] cd /workspace/zopefoundation__zope.interface__4.7 && git show 1e720c3819b8daa07aaad0ee0258d9035597f27d -- src/zope/interface/adapter.py,read_only,
38,chatcmpl-d1d464916024c4126d824e80d6c401e1,samuelcolvin/arq,108,[str_replace_editor:create] /workspace/samuelcolvin__arq__0.25/edge_case_test.py,edit,
39,chatcmpl-8deb597658c18e19aa609e374df3c640,networkx/networkx,2,[think] Let me carefully read and understand the issue:  1. The problem is with `nx.bipa,other,
40,chatcmpl-67678f383995118357c6e4c3c38950b1,tobymao/sqlglot,10,[str_replace_editor:view] /workspace/tobymao__sqlglot__22.5/Makefile,read_only,
41,chatcmpl-4a5913d1073fa68417a2d4f791dea57e,pypa/setuptools_scm,78,[execute_bash] cd /workspace/pypa__setuptools_scm__3.0 && python final_verification.py,test_run,
42,chatcmpl-6cf774805d5d89b1b7c4290ffc912732,hhursev/recipe-scrapers,62,[str_replace_editor:create] /workspace/hhursev__recipe-scrapers__14.58/test_edge_cases.py,edit,
43,chatcmpl-b757b86c696fff20b9e89c517d074a2c,magpylib/magpylib,26,"[execute_bash] cd /workspace/magpylib__magpylib__4.5 && grep -n ""def.*magnet_cylinder_segment_field"" magpylib/_src/fields/field_BH_cylinder_segment.py",read_only,
44,chatcmpl-ab102c3d8eea46b3b8d1495725c99541,MaineKuehn/usim,74,[execute_bash] cd /workspace/MaineKuehn__usim__0.4 && python debug_issue3.py,test_run,
45,chatcmpl-127a68d8ba0b94cffd7d5d0078a9ca51,google/mobly,20,[str_replace_editor:view] /workspace/google__mobly__1.6/mobly/controllers,read_only,
46,chatcmpl-1fe8f54589dc2a303267ecc4f090f655,peterbe/hashin,50,[str_replace_editor:view] /workspace/peterbe__hashin__unknown/hashin.py,read_only,
47,chatcmpl-c22b2c809456fc41fba825b4b2e38345,tobymao/sqlglot,38,[str_replace_editor:view] /workspace/tobymao__sqlglot__10.4/sqlglot/parser.py,read_only,
48,chatcmpl-231a31c38289c9b32e2f58a67634edc7,prjemian/spec2nexus,8,[str_replace_editor:view] /workspace/prjemian__spec2nexus__2021.1/README.md,read_only,
49,chatcmpl-106160908deffbb3b157dec9eb4ad10c,tefra/xsdata,114,[execute_bash] cd /workspace/tefra__xsdata__24.11 && python test_my_fix.py,test_run,
50,chatcmpl-6e8e9e4c220d6efe7ebe9d46fa49b9fa,algorand/pyteal,40,"[execute_bash] cd /workspace/algorand__pyteal__0.22 && find . -name ""*.py"" -exec grep -l ""class.*Tuple"" {} \;",read_only,
51,chatcmpl-a11041448cab1189d3ac8477be40a9c0,Skyscanner/cfripper,22,[str_replace_editor:view] /workspace/Skyscanner__cfripper__0.11/cfripper/boto3_client.py,read_only,
52,chatcmpl-e21162de13b4e6ff5cf65872b5f25d15,pydicom/pydicom,106,[str_replace_editor:str_replace] /workspace/pydicom__pydicom__2.3/test_reproduction_for_regression.py,edit,
53,chatcmpl-2478c202a787fde3eccd57d0e3d030f0,PennyLaneAI/pennylane,174,[str_replace_editor:str_replace] /workspace/PennyLaneAI__pennylane__0.38/pennylane/ops/op_math/sum.py,edit,
54,chatcmpl-38e13ad58111c005f93471279be02bde,lmfit/lmfit-py,164,[task_tracker] plan,other,
55,chatcmpl-f4587075cb167e75dba54a4dd7f61a1b,koxudaxi/datamodel-code-generator,158,[str_replace_editor:str_replace] /workspace/koxudaxi__datamodel-code-generator__0.12/datamodel_code_generator/parser/base.py,edit,
56,chatcmpl-77eccb0f5902b49087a503345f4fced3,pika/pika,114,"[execute_bash] cd /workspace/pika__pika__0.12 && python3 -c ""
import sys
sys.path.insert(0, '.')
import pika.compat
print('AbstractBase:', pika.compat.AbstractBase)
print('AbstractBase MRO:', [cls.__name__ for cls in pika.compat.AbstractBase.__mro__])
""",other,
